,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
281,2018-05-01,PAREJA JOVEN,57,3756,8.480564430244923,2.803514376996805,2693.479690711799,303835.73675867514,2004965.1580928483
282,2018-05-01,PAREJAS ADULTAS,53,3263,9.611145162937978,3.131780570027582,5232.426737880815,311934.47440466355,1908665.7606727039
283,2018-05-01,PAREJAS SENIOR,70,4614,6.9945094639502745,3.1226701343736454,849.8233508125121,559628.7587820718,2296323.793777778
286,2018-06-01,ADULTO EN PLENITUD,79,8352,3.3460448595147003,2.2768199233716473,1499.7446555221907,148006.69381589233,1909350.7322175733
287,2018-06-01,ADULTOS INDEPENDIENTES,61,5930,6.8163293985385325,2.530016863406408,667.4429416653389,320894.10087278916,2669510.8119068164
288,2018-06-01,DIVORCIADO,34,2581,9.48682681131344,3.421154591243704,32210.83668643124,541817.7101839224,2845564.3800243605
289,2018-06-01,HOGARES CON HIJOS,96,6715,10.186398610076907,4.202680565897245,16380.969344322224,825858.3898781389,2870641.715001566
292,2018-06-01,JOVEN PROFESIONAL,76,4404,12.778118377232806,2.715712988192552,3418.7646517879602,356328.00063508406,2092548.3042505593
293,2018-06-01,JOVEN TRABAJADOR,38,5328,8.55117617617618,1.783033033033033,99259.36678618511,37743.573527667984,832627.2577777777
294,2018-06-01,PAREJA JOVEN,39,3763,8.564841881477545,2.7993622110018603,3562.3598685517013,319853.8000225869,1940725.599493029
295,2018-06-01,PAREJAS ADULTAS,54,3234,9.941713048855906,3.130488559059988,20865.84591736898,381523.61265102617,1975598.0182767625
296,2018-06-01,PAREJAS SENIOR,66,4582,7.090244434744628,3.1211261457878656,1208.3166513342262,555998.8903516062,2332539.8225225224
299,2018-07-01,ADULTO EN PLENITUD,63,8436,3.1809902007270243,2.248458985301091,826.285103161758,153106.47841186787,1999798.1165730336
300,2018-07-01,ADULTOS INDEPENDIENTES,60,5902,6.857251779057953,2.510843781768892,660.0094644439577,326586.026272996,2425943.3480176213
301,2018-07-01,DIVORCIADO,26,2565,9.388758934372971,3.475243664717349,51171.76245577295,537372.9528794299,2865285.4079110012
302,2018-07-01,HOGARES CON HIJOS,117,6809,10.27608067753462,4.200029372888824,14144.132239069746,834859.9491844791,2868778.6135384617
305,2018-07-01,JOVEN PROFESIONAL,72,4399,12.963628097294812,2.7683564446465105,10467.19227141512,363482.8682185112,2112006.082405345
306,2018-07-01,JOVEN TRABAJADOR,25,5546,8.502915013823786,1.8106743598990263,56.2086040932207,37736.670536376965,872507.8821138211
307,2018-07-01,PAREJA JOVEN,33,3826,8.779926816518575,2.7969158389963407,6169.775374523169,299898.139658474,1849921.2974683545
308,2018-07-01,PAREJAS ADULTAS,56,3222,10.159735154148551,3.1626319056486656,826.8950864088127,412433.73395016347,2032488.6453333334
309,2018-07-01,PAREJAS SENIOR,63,4553,7.203785050150073,3.1418844717768506,750.4269794384719,526168.1973525671,2338638.007266122
