,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
62,2016-12-01,PAREJAS SENIOR,53,4319,6.104885390136609,2.8212549201203982,873.0689226582575,256929.1761030033,1656034.1316455696
65,2017-01-01,ADULTO EN PLENITUD,68,7454,3.064886861640257,2.1079957070029516,2148.7370289214473,154774.6346838095,1934486.2959337349
66,2017-01-01,ADULTOS INDEPENDIENTES,55,4999,5.938921117556821,2.3280656131226247,6014.102560825032,259586.96332769428,1931645.1837708831
67,2017-01-01,DIVORCIADO,29,1991,8.367654445002518,3.2320441988950277,479.9686884326665,563987.7442460991,2998350.458204334
68,2017-01-01,HOGARES CON HIJOS,104,6722,8.931369632053958,3.9903302588515324,13326.718205350255,702488.2255264651,2432648.670591614
71,2017-01-01,JOVEN PROFESIONAL,46,3708,10.007056814095632,2.547195253505933,14745.149905532604,385216.23824341025,1929233.7067307692
72,2017-01-01,JOVEN TRABAJADOR,18,5195,7.383285210137939,1.6404234841193455,159.2736353342372,37973.807055789424,1063154.5568181819
73,2017-01-01,PAREJA JOVEN,41,3842,7.054528891202486,2.6215512753774077,1577.1865368893343,214532.33092455898,1417377.1526104417
74,2017-01-01,PAREJAS ADULTAS,55,3211,8.046558704453421,2.828090937402678,1547.382569714907,271470.7037326691,1824508.6348645466
75,2017-01-01,PAREJAS SENIOR,73,4288,6.2711054104477615,2.8512126865671643,800.4051892635468,261371.54535779418,1665783.9491094148
78,2017-02-01,ADULTO EN PLENITUD,78,7647,3.1355651453729125,2.1715705505426963,1826.9682191881634,165590.45689354686,1867001.1985765125
79,2017-02-01,ADULTOS INDEPENDIENTES,49,4764,5.776063532045906,2.347187237615449,765.850206384219,241937.44078384244,1786102.188511327
80,2017-02-01,DIVORCIADO,43,2386,8.575579770885707,3.1454316848281643,9825.478828254189,571646.3638687222,2969622.692729767
81,2017-02-01,HOGARES CON HIJOS,123,6678,8.727762803234523,4.0020964360587,60624.96586760129,692662.0844566316,2461894.3249781406
84,2017-02-01,JOVEN PROFESIONAL,48,4212,9.830721747388424,2.443019943019943,16657.606210649195,316417.3830991557,1863166.6512455516
85,2017-02-01,JOVEN TRABAJADOR,13,4575,7.02958105646627,1.5707103825136612,2524.184685409941,24573.220285959575,1179234.253012048
86,2017-02-01,PAREJA JOVEN,34,3622,6.854224185532871,2.6413583655438986,2448.422457211837,220454.23111051865,1444927.6435643565
87,2017-02-01,PAREJAS ADULTAS,54,3293,8.151837230488903,2.8396598846037047,1580.6621022407373,214474.61227704107,1655190.8576349025
88,2017-02-01,PAREJAS SENIOR,75,4401,6.094599712186637,2.8850261304249036,889.5526084045383,279963.19628583273,1778872.4264214046
91,2017-03-01,ADULTO EN PLENITUD,81,7780,3.048564695801178,2.144987146529563,1795.7978196797796,171872.86693988385,1807467.4971631207
92,2017-03-01,ADULTOS INDEPENDIENTES,59,5075,5.994909688013125,2.356256157635468,240.56974420692464,266219.86345642415,1809615.9833585476
93,2017-03-01,DIVORCIADO,27,2093,7.600891861761442,3.10224558050645,21143.11391986271,470322.46062283445,2891110.408874802
94,2017-03-01,HOGARES CON HIJOS,107,6598,8.639259371526759,4.013488936041225,11218.90512399441,704494.058356291,2464628.775095673
97,2017-03-01,JOVEN PROFESIONAL,41,4183,9.836799744999597,2.474300741094908,34228.261476381136,327305.39391175087,1853259.6301531214
98,2017-03-01,JOVEN TRABAJADOR,13,4634,6.8800172637030546,1.5865343116098403,3083.3205864228353,25790.433403482282,1131858.8054054054
99,2017-03-01,PAREJA JOVEN,31,3628,6.729235575156183,2.6474641675854467,1502.0158735134578,217421.7312208833,1437888.7688888889
100,2017-03-01,PAREJAS ADULTAS,48,3304,7.992332526230826,2.88680387409201,1639.6382500572931,208491.30580053543,1647481.2153325817
101,2017-03-01,PAREJAS SENIOR,51,4466,6.026757725033577,2.8909538737124945,938.9879252216979,297594.11491528596,1789209.897142857
