ENTIDAD,OPERACION.O.RAMO,PRIMA.EMITIDA,SINIESTROS.PAGADOS,z1,z2,z3,z4,z5,z6,z7
Hidalgo,AUT,558.072984,542.526585,0,0,1,0,0,0,0
Jalisco,AUT,3804.136446,3131.893349,0,0,1,0,0,0,0
"Mexico, Estado De",AUT,4303.01914,3816.108242,0,0,1,0,0,0,0
Michoacan,AUT,933.783588,775.088844,0,0,1,0,0,0,0
Morelos,AUT,596.635265,566.455477,0,0,1,0,0,0,0
Nayarit,AUT,256.699951,247.834367,0,0,1,0,0,0,0
Nuevo Leon,AUT,4967.51702,3929.113454,0,0,1,0,0,0,0
Oaxaca,AUT,482.12938,437.989678,0,0,1,0,0,0,0
Puebla,AUT,1629.963418,1181.156599,0,0,1,0,0,0,0
Queretaro,AUT,908.841235,657.352583,0,0,1,0,0,0,0
Quintana Roo,AUT,563.470974,485.28928,0,0,1,0,0,0,0
San Luis Potosi,AUT,794.387784,625.774464,0,0,1,0,0,0,0
Sinaloa,AUT,1125.390941,1654.938585,0,0,1,0,0,0,0
Sonora,AUT,1027.570375,802.344916,0,0,1,0,0,0,0
Tabasco,AUT,757.325198,740.509103,0,0,1,0,0,0,0
Tamaulipas,AUT,1402.990875,1179.605473,0,0,1,0,0,0,0
Tlaxcala,AUT,163.173145,151.956516,0,0,1,0,0,0,0
Veracruz,AUT,1984.356997,1820.574173,0,0,1,0,0,0,0
Yucatan,AUT,763.386797,550.081462,0,0,1,0,0,0,0
Zacatecas,AUT,241.282041,229.577714,0,0,1,0,0,0,0
Aguascalientes,MED,855.271186,589.351099,0,0,0,1,0,0,0
Baja California,MED,713.514781,476.116653,0,0,0,1,0,0,0
Baja California Sur,MED,75.690358,24.661827,0,0,0,1,0,0,0
Campeche,MED,35.739581,18.12962,0,0,0,1,0,0,0
Coahuila,MED,911.02787,537.263621,0,0,0,1,0,0,0
Colima,MED,52.492792,50.249718,0,0,0,1,0,0,0
Chiapas,MED,96.211539,45.540414,0,0,0,1,0,0,0
Chihuahua,MED,989.347604,752.717539,0,0,0,1,0,0,0
Distrito Federal,MED,15004.36458,10007.33411,0,0,0,1,0,0,0
Durango,MED,76.103459,36.991218,0,0,0,1,0,0,0
Guanajuato,MED,544.609309,501.507257,0,0,0,1,0,0,0
Guerrero,MED,67.938583,77.527725,0,0,0,1,0,0,0
Hidalgo,MED,91.449738,43.22186,0,0,0,1,0,0,0
Jalisco,MED,2260.447462,1569.504907,0,0,0,1,0,0,0
"Mexico, Estado De",MED,1670.971673,1044.024103,0,0,0,1,0,0,0
Michoacan,MED,204.027979,113.225862,0,0,0,1,0,0,0
Morelos,MED,215.8989,112.604995,0,0,0,1,0,0,0
Nayarit,MED,40.373903,20.487435,0,0,0,1,0,0,0
Nuevo Leon,MED,4419.025299,3987.25321,0,0,0,1,0,0,0
Oaxaca,MED,48.665671,17.413796,0,0,0,1,0,0,0
Puebla,MED,554.571585,326.284121,0,0,0,1,0,0,0
Queretaro,MED,547.736288,341.746529,0,0,0,1,0,0,0
Quintana Roo,MED,269.604267,116.224305,0,0,0,1,0,0,0
San Luis Potosi,MED,372.652375,209.204996,0,0,0,1,0,0,0
Sinaloa,MED,316.423479,157.282231,0,0,0,1,0,0,0
Sonora,MED,616.511591,433.414382,0,0,0,1,0,0,0
Tabasco,MED,154.568656,81.93281,0,0,0,1,0,0,0
Tamaulipas,MED,762.873124,428.286912,0,0,0,1,0,0,0
Tlaxcala,MED,16.746535,4.379621,0,0,0,1,0,0,0
Veracruz,MED,371.513531,137.464935,0,0,0,1,0,0,0
Yucatan,MED,312.776507,270.512587,0,0,0,1,0,0,0
Zacatecas,MED,38.045894,14.505362,0,0,0,1,0,0,0
Aguascalientes,FIR,28.142032,10.81816,0,0,0,0,1,0,0
Baja California,FIR,285.743964,109.133776,0,0,0,0,1,0,0
Baja California Sur,FIR,75.035585,45.183228,0,0,0,0,1,0,0
Campeche,FIR,24.390763,1657.099977,0,0,0,0,1,0,0
Coahuila,FIR,173.74188,85.896162,0,0,0,0,1,0,0
Colima,FIR,45.628362,18.884029,0,0,0,0,1,0,0
